,Hoax Words,Frequency
0,aaaakkkhhhhhh,1
1,aaah,1
2,aaaminnn,1
3,aahhh,1
4,aakar,2
5,aaliyah,2
6,aang,1
7,abadi,5
8,abai,7
9,abal,10
10,abang,6
11,abar,2
12,abas,2
13,abd,2
14,abdi,3
15,abdu,1
16,abdul,4
17,abdullah,1
18,abe,1
19,abg,1
20,abi,10
21,abigail,2
22,abimanyu,3
23,abis,14
24,abk,1
25,ablum,1
26,abng,1
27,aborigin,1
28,aborsi,2
29,abraham,1
30,abri,1
31,abs,2
32,absah,1
33,absen,1
34,abu,4
35,abyasa,2
36,ac,3
37,acak,1
38,acapkali,1
39,acara,183
40,accesoris,1
41,accuracy,1
42,achad,1
43,acho,1
44,acin,1
45,aco,1
46,act,3
47,acting,1
48,action,3
49,actionnya,2
50,activities,1
51,actor,1
52,acu,2
53,acung,2
54,ada,39
55,adab,2
56,adapatasi,1
57,adegan,3
58,adem,1
59,ademin,4
60,aden,1
61,adera,5
62,adhanom,1
63,adhari,2
64,adhiarta,1
65,adi,12
66,adil,13
67,adipratomo,2
68,adjie,1
69,adjis,1
70,adl,2
71,adlh,4
72,adm,1
73,admin,22
74,adminduk,2
75,admine,1
76,administrasi,3
77,administratif,1
78,adminnya,2
79,adminya,1
80,adnan,1
81,adopsi,2
82,adopt,6
83,adoption,1
84,adry,3
85,adu,5
86,aduk,1
87,aduuh,1
88,aduuuhhh,1
89,advokasi,1
90,adya,2
91,adzan,1
92,ae,11
93,aeng,1
94,aepi,1
95,aethanolum,1
96,afaik,1
97,affandi,1
98,afiliasi,1
99,afrika,3
100,aga,1
101,agam,10
102,agama,38
103,agas,1
104,agen,12
105,agenda,12
106,aggresive,1
107,agi,1
108,agitatif,1
109,agnes,2
110,agnez,3
111,agree,2
112,agun,1
113,agung,4
114,agus,8
115,ahahaha,1
116,ahhh,1
117,ahhhhh,1
118,ahk,1
119,ahli,6
120,ahmadiyah,2
121,ahn,1
122,ahog,1
123,ahok,31
124,ahox,1
125,ahri,1
126,ahsan,5
127,aia,1
128,aids,2
129,aiis,1
130,ain,3
131,ainun,8
132,air,3
133,airborne,1
134,airbus,1
135,airdots,1
136,aires,1
137,airlines,3
138,airpods,1
139,airport,3
140,aisha,1
141,aisyiyah,1
142,aja,9
143,ajaaaaa,1
144,ajadah,2
145,ajaib,1
146,ajak,41
147,ajakain,1
148,ajakin,5
149,ajar,100
150,ajarin,1
151,ajeee,1
152,aji,1
153,aju,11
154,akabri,1
155,akademisi,1
156,akal,12
157,akan,4
158,akann,1
159,akapnya,1
160,akar,1
161,akbar,4
162,akbp,1
163,akedemisi,1
164,akeh,1
165,akew,1
166,akhad,1
167,akherat,1
